state_no,H1,H2,H3,H4
432,44.48,42.71,3600,3600
433,358.29,119.48,3600,3600
434,286.62,118.36,3600,3600
435,217.96,270.31,3600,3600
436,44.83,43.33,3600,3600
437,371.46,115.36,3600,3600
438,97.09,113.95,3600,3600
439,1672.47,265.80,3600,3600
440,11.97,125.79,3600,3600
441,50.57,268.21,3600,3600
442,28.56,268.38,3600,3600
443,257.07,926.27,3600,3600
444,21.27,3.94,3.39,2.41
445,9.15,4.30,3.48,2.50
446,5.70,4.03,3.39,2.55
447,24.67,4.04,3.58,2.64
448,6.63,3.59,3.26,2.45
449,3.90,3.62,3.23,2.47
450,2.77,3.38,3.33,2.43
451,2.78,4.19,3.88,2.64
452,3.56,3.93,3.64,2.57
453,2.78,15.98,3.78,2.65
454,10.95,3.43,3.46,2.54
455,9.75,3.74,3.46,2.52
456,4.59,3.35,3.43,2.58
457,3.74,3.94,3.36,2.57
458,2.77,3.82,3.88,2.71
459,6.88,16.43,3.59,2.54
460,2.76,3.11,3.36,2.43
461,3.60,3.86,3.36,2.41
462,4.76,4.03,3.38,2.47
463,12.98,4.55,3.20,2.45
464,3.13,3.91,3.48,2.46
465,3.33,37.06,3.60,2.64
466,6.87,27.23,3.43,2.52
467,3600,106.91,3.27,2.40
468,3.29,3.98,3.20,2.42
469,3.24,35.82,4.54,3.20
470,2891.41,31.97,3.60,2.54
471,3600,100.32,3.44,2.59
472,4.16,5.39,3.20,2.45
473,5.10,109.68,3.27,2.49
474,3600,105.72,3.24,2.49
475,3600,252.90,3.48,2.43
476,4.48,3.39,3.19,2.41
477,4.48,3.63,3.19,2.39
478,4.39,3.62,3.59,2.43
479,4.54,4.06,3.39,2.38
480,8.77,9.46,4.33,3.22
481,26.97,16.94,3.32,2.55
482,27.56,16.73,3.72,2.62
483,60.23,53.37,3.21,2.41
484,6.07,8.44,5.99,3.85
485,32.05,19.52,4.03,2.77
486,27.57,14.43,4.04,2.75
487,61.78,63.54,3.25,2.46
488,18.91,21.94,3.34,2.44
489,27.87,42.51,3.28,2.46
490,28.51,50.45,3.17,2.49
491,58.94,132.37,3.31,2.43
492,4.60,3.38,3.27,2.41
493,7.61,9.20,3.82,2.72
494,5.51,8.27,4.30,2.91
495,6.66,29.16,3.29,2.47
496,4.55,3.64,3.20,2.42
497,9.09,15.50,3.39,2.51
498,5.33,14.91,3.60,2.58
499,11.52,39.51,3.24,2.43
500,4.57,3.82,3.20,2.43
501,6.12,19.43,3.35,2.46
502,6.03,18.72,3.54,2.54
503,7.05,47.49,3.18,2.43
504,4.56,3.95,3.13,2.43
505,5.54,57.06,3.37,2.45
506,5.07,56.51,3.18,2.44
507,5.95,137.50,3.19,2.42
508,4.69,4.25,3.18,2.44
509,4.76,4.65,3.30,2.40
510,10.73,6.24,3.43,2.45
511,33.48,9.93,3.30,2.40
512,4.50,4.93,3.39,2.54
513,4.51,6.66,3.20,2.46
514,4.60,6.87,3.29,2.46
515,4.59,18.55,3.29,2.41
516,4.62,4.92,3.33,2.47
517,36.96,6.61,3.20,2.43
518,4.66,6.41,3.41,2.48
519,1521.73,18.83,3.54,2.49
520,4.61,10.12,3.30,2.43
521,4.55,18.27,3.18,2.41
522,4.47,17.68,3.34,2.49
523,4.53,75.08,3.31,2.44
524,2.38,2.40,3.25,3.25
525,771.93,4.08,3.43,3.43
526,848.16,6.27,12.97,12.97
527,774.13,2.90,3.50,3.50
528,775.21,12.97,3600,3600
529,773.84,8.84,4.15,4.15
530,3600,7.73,3.87,3.87
531,3.63,4.84,411.03,411.03
532,2.42,4.58,416.15,416.15
533,2.40,2.60,410.50,410.50
534,2.47,10.72,417.97,417.97
535,3600,12.63,614.92,614.92
536,3600,8.10,8.97,8.97
537,2.42,2.35,3.34,3.34
538,2.45,2.76,3.23,3.23
539,2.39,5.29,3.38,3.38
540,2.44,3.80,3.76,3.76
541,2.46,7.91,3.42,3.42
542,2.50,2.70,3.29,3.29
543,2.54,5.21,4.36,4.36
544,3600,3.51,6.61,6.61
545,3600,7.85,4.39,4.39
546,3.15,17.47,3.31,3.31
547,5.59,7.97,3.27,3.27
548,2.57,13.38,4.40,4.40
549,2.66,4.35,3.30,3.30
550,3.03,12.54,5.44,5.44
551,5.54,4.80,4.15,4.15
552,2.49,4.42,25.67,25.67
553,2.62,2.83,3.36,3.36
554,3600,24.76,7.98,7.98
555,6.64,10.37,9.28,9.28
556,3.03,23.90,12.70,12.70
557,3600,3.22,3.61,3.61
558,3600,6.58,5.41,5.41
559,17.30,4.38,6.09,6.09
560,8.47,5.55,62.49,62.49
561,3600,2.64,3.13,3.13
562,3.20,3.22,4.65,4.65
563,3.58,3.50,52.82,52.82
564,3.06,3.14,4.93,4.93
565,3.39,3.41,50.07,50.07
566,43.74,44.82,48.60,48.60
567,3.24,3.17,5.05,5.05
568,3.39,3.24,49.32,49.32
569,1183.13,1186.93,30.85,30.85
570,3600,3600,46.13,46.13
571,3600,3600,36.77,36.77
572,3.22,3.31,5.37,5.37
573,3.18,3.21,70.19,70.19
574,3600,3600,36.87,36.87
575,757.85,753.90,56.42,56.42
576,762.38,758.76,36.58,36.58
577,548.52,541.79,45.54,45.54
578,3600,3600,33.27,33.27
579,1010.10,1017.12,40.48,40.48
580,3600,3600,43.28,43.28
581,3.22,3.07,5.24,5.24
582,5.51,4.47,47.88,47.88
583,3.88,3.62,56.54,56.54
584,3.51,4.16,71.92,71.92
585,19.38,17.36,50.80,50.80
586,3600,3600,31.22,31.22
587,1170.20,1172.08,31.90,31.90
588,262.91,261.16,47.84,47.84
589,3600,3600,35.41,35.41
590,3600,3600,3600,3600
591,3600,3600,48.60,48.60
592,758.62,776.54,52.08,52.08
593,3600,3600,39.09,39.09
594,3600,3600,46.32,46.32
595,3600,3600,36.20,36.20
596,3600,3600,40.94,40.94
597,3600,3600,40.03,40.03
598,5.50,4.01,5.69,5.69
599,8.56,6.30,5.46,5.46
600,4.80,4.15,11.10,11.10
601,5.48,6.85,76.34,76.34
602,5.01,6.49,80.35,80.35
603,4.87,6.55,48.25,48.25
604,5.11,6.08,38.31,38.31
605,283.94,266.41,31.66,31.66
606,156.98,159.03,71.25,71.25
607,3600,3600,47.06,47.06
608,6.39,6.47,51.03,51.03
609,6.26,3.63,30.13,30.13
610,492.23,491.27,54.94,54.94
611,3600,3600,40.12,40.12
612,6.19,6.14,44.22,44.22
613,5.54,6.20,36.44,36.44
614,3600,3600,51.04,51.04
615,3600,3600,25.94,25.94
616,42.84,36.24,71.78,71.78
617,3600,3600,33.40,33.40
618,3600,3600,35.39,35.39
619,3600,3600,35.72,35.72
620,8.19,5.07,38.65,38.65
621,3600,3600,53.70,53.70
622,5.49,6.52,24.56,24.56
623,240.22,238.62,47.42,47.42
624,419.70,435.03,47.73,47.73
625,3600,3600,30.77,30.77
626,509.14,526.68,51.30,51.30
627,10.55,7.96,36.03,36.03
628,513.79,510.04,24.07,24.07
629,3600,3600,37.09,37.09
630,3600,3600,45.76,45.76
631,3600,3600,25.61,25.61
632,3600,3600,70.50,70.50
633,3600,3600,34.52,34.52
634,3600,3600,34.69,34.69
635,3600,3600,34.61,34.61
636,3600,3600,99.72,99.72
637,159.47,170.43,13.71,13.71
638,3600,3600,10.92,10.92
639,3600,3600,47.62,47.62
640,3600,3600,44.55,44.55
641,308.47,167.75,46.69,46.69
642,182.62,3600,3600,3600
643,168.84,3600,68.93,68.93
644,3600,3600,72.39,72.39
645,3600,3600,51.28,51.28
646,3600,3600,54.76,54.76
647,3600,3600,29.94,29.94
648,3600,3600,3600,3600
649,3600,3600,35.35,35.35
650,3600,3600,79.79,79.79
651,3600,3600,48.32,48.32
652,3600,3600,50.41,50.41
653,3600,3600,29.85,29.85
654,3600,3600,48.75,48.75
655,3600,6.07,29.93,29.93
656,6.50,6.63,37.36,37.36
657,6.83,6.68,39.55,39.55
658,6.80,6.75,3600,3600
